symbol,date,price
Delta,Dec 2007,92.64
Delta,Jan 2008,77.7
Delta,Feb 2008,64.47
Delta,Mar 2008,71.3
Delta,Apr 2008,78.63
Delta,May 2008,81.62
Delta,Jun 2008,73.33
Delta,Jul 2008,76.34
Delta,Aug 2008,80.81
Delta,Sep 2008,72.76
Delta,Oct 2008,57.24
Delta,Nov 2008,42.7
Delta,Dec 2008,51.28
Delta,Jan 2009,58.82
Delta,Feb 2009,64.79
Delta,Mar 2009,73.44
Delta,Apr 2009,80.52
Delta,May 2009,77.99
Delta,Jun 2009,83.66
Delta,Jul 2009,85.76
Delta,Aug 2009,81.19
Delta,Sep 2009,93.36
Delta,Oct 2009,118.81
Delta,Nov 2009,135.91
Delta,Dec 2009,134.52
Delta,Jan 2010,125.41
Delta,Feb 2010,118.4
Delta,Mar 2010,128.82
Lufthansa,Jan 2000,100.52
Lufthansa,Feb 2000,92.11
Lufthansa,Mar 2000,106.11
Lufthansa,Apr 2000,99.95
Lufthansa,May 2000,96.31
Lufthansa,Jun 2000,98.33
Lufthansa,Jul 2000,100.74
Lufthansa,Aug 2000,118.62
Lufthansa,Sep 2000,101.19
Lufthansa,Oct 2000,88.5
Lufthansa,Nov 2000,84.12
Lufthansa,Dec 2000,76.47
Lufthansa,Jan 2001,100.76
Lufthansa,Feb 2001,89.98
Lufthansa,Mar 2001,86.63
Lufthansa,Apr 2001,103.7
Lufthansa,May 2001,100.82
Lufthansa,Jun 2001,102.35
Lufthansa,Jul 2001,94.87
Lufthansa,Aug 2001,90.25
Lufthansa,Sep 2001,82.82
Lufthansa,Oct 2001,97.58
Lufthansa,Nov 2001,104.5
Lufthansa,Dec 2001,109.36
Lufthansa,Jan 2002,97.54
Lufthansa,Feb 2002,88.82
Lufthansa,Mar 2002,94.15
Lufthansa,Apr 2002,75.82
Lufthansa,May 2002,72.97
Lufthansa,Jun 2002,65.31
Lufthansa,Jul 2002,63.86
Lufthansa,Aug 2002,68.52
Lufthansa,Sep 2002,53.01
Lufthansa,Oct 2002,71.76
Lufthansa,Nov 2002,79.16
Lufthansa,Dec 2002,70.58
Lufthansa,Jan 2003,71.22
Lufthansa,Feb 2003,71.13
Lufthansa,Mar 2003,71.57
Lufthansa,Apr 2003,77.47
Lufthansa,May 2003,80.48
Lufthansa,Jun 2003,75.42
Lufthansa,Jul 2003,74.28
Lufthansa,Aug 2003,75.12
Lufthansa,Sep 2003,80.91
Lufthansa,Oct 2003,81.96
Lufthansa,Nov 2003,83.08
Lufthansa,Dec 2003,85.05
Lufthansa,Jan 2004,91.06
Lufthansa,Feb 2004,88.7
Lufthansa,Mar 2004,84.41
Lufthansa,Apr 2004,81.04
Lufthansa,May 2004,81.59
Lufthansa,Jun 2004,81.19
Lufthansa,Jul 2004,80.19
Lufthansa,Aug 2004,78.17
Lufthansa,Sep 2004,79.13
Lufthansa,Oct 2004,82.84
Lufthansa,Nov 2004,87.15
Lufthansa,Dec 2004,91.16
Lufthansa,Jan 2005,86.39
Lufthansa,Feb 2005,85.78
Lufthansa,Mar 2005,84.66
Lufthansa,Apr 2005,70.77
Lufthansa,May 2005,70.18
Lufthansa,Jun 2005,68.93
Lufthansa,Jul 2005,77.53
Lufthansa,Aug 2005,75.07
Lufthansa,Sep 2005,74.7
Lufthansa,Oct 2005,76.25
Lufthansa,Nov 2005,82.98
Lufthansa,Dec 2005,76.73
Lufthansa,Jan 2006,75.89
Lufthansa,Feb 2006,75.09
Lufthansa,Mar 2006,77.17
Lufthansa,Apr 2006,77.05
Lufthansa,May 2006,75.04
Lufthansa,Jun 2006,72.15
Lufthansa,Jul 2006,72.7
Lufthansa,Aug 2006,76.35
Lufthansa,Sep 2006,77.26
Lufthansa,Oct 2006,87.06
Lufthansa,Nov 2006,86.95
Lufthansa,Dec 2006,91.9
Lufthansa,Jan 2007,93.79
Lufthansa,Feb 2007,88.18
Lufthansa,Mar 2007,89.44
Lufthansa,Apr 2007,96.98
Lufthansa,May 2007,101.54
Lufthansa,Jun 2007,100.25
Lufthansa,Jul 2007,105.4
Lufthansa,Aug 2007,111.54
Lufthansa,Sep 2007,112.6
Lufthansa,Oct 2007,111
Lufthansa,Nov 2007,100.9
Lufthansa,Dec 2007,103.7
Lufthansa,Jan 2008,102.75
Lufthansa,Feb 2008,109.64
Lufthansa,Mar 2008,110.87
Lufthansa,Apr 2008,116.23
Lufthansa,May 2008,125.14
Lufthansa,Jun 2008,114.6
Lufthansa,Jul 2008,123.74
Lufthansa,Aug 2008,118.16
Lufthansa,Sep 2008,113.53
Lufthansa,Oct 2008,90.24
Lufthansa,Nov 2008,79.65
Lufthansa,Dec 2008,82.15
Lufthansa,Jan 2009,89.46
Lufthansa,Feb 2009,90.32
Lufthansa,Mar 2009,95.09
Lufthansa,Apr 2009,101.29
Lufthansa,May 2009,104.85
Lufthansa,Jun 2009,103.01
Lufthansa,Jul 2009,116.34
Lufthansa,Aug 2009,117
Lufthansa,Sep 2009,118.55
Lufthansa,Oct 2009,119.54
Lufthansa,Nov 2009,125.79
Lufthansa,Dec 2009,130.32
Lufthansa,Jan 2010,121.85
Lufthansa,Feb 2010,127.16
Lufthansa,Mar 2010,125.55
Latam,Jan 2000,25.94
Latam,Feb 2000,28.66
Latam,Mar 2000,33.95
Latam,Apr 2000,31.01
Latam,May 2000,21
Latam,Jun 2000,26.19
Latam,Jul 2000,25.41
Latam,Aug 2000,30.47
Latam,Sep 2000,12.88
Latam,Oct 2000,9.78
Latam,Nov 2000,8.25
Latam,Dec 2000,7.44
Latam,Jan 2001,10.81
Latam,Feb 2001,9.12
Latam,Mar 2001,11.03
Latam,Apr 2001,12.74
Latam,May 2001,9.98
Latam,Jun 2001,11.62
Latam,Jul 2001,9.4
Latam,Aug 2001,9.27
Latam,Sep 2001,7.76
Latam,Oct 2001,8.78
Latam,Nov 2001,10.65
Latam,Dec 2001,10.95
Latam,Jan 2002,12.36
Latam,Feb 2002,10.85
Latam,Mar 2002,11.84
Latam,Apr 2002,12.14
Latam,May 2002,11.65
Latam,Jun 2002,8.86
Latam,Jul 2002,7.63
Latam,Aug 2002,7.38
Latam,Sep 2002,7.25
Latam,Oct 2002,8.03
Latam,Nov 2002,7.75
Latam,Dec 2002,7.16
Latam,Jan 2003,7.18
Latam,Feb 2003,7.51
Latam,Mar 2003,7.07
Latam,Apr 2003,7.11
Latam,May 2003,8.98
Latam,Jun 2003,9.53
Latam,Jul 2003,10.54
Latam,Aug 2003,11.31
Latam,Sep 2003,10.36
Latam,Oct 2003,11.44
Latam,Nov 2003,10.45
Latam,Dec 2003,10.69
Latam,Jan 2004,11.28
Latam,Feb 2004,11.96
Latam,Mar 2004,13.52
Latam,Apr 2004,12.89
Latam,May 2004,14.03
Latam,Jun 2004,16.27
Latam,Jul 2004,16.17
Latam,Aug 2004,17.25
Latam,Sep 2004,19.38
Latam,Oct 2004,26.2
Latam,Nov 2004,33.53
Latam,Dec 2004,32.2
Latam,Jan 2005,38.45
Latam,Feb 2005,44.86
Latam,Mar 2005,41.67
Latam,Apr 2005,36.06
Latam,May 2005,39.76
Latam,Jun 2005,36.81
Latam,Jul 2005,42.65
Latam,Aug 2005,46.89
Latam,Sep 2005,53.61
Latam,Oct 2005,57.59
Latam,Nov 2005,67.82
Latam,Dec 2005,71.89
Latam,Jan 2006,75.51
Latam,Feb 2006,68.49
Latam,Mar 2006,62.72
Latam,Apr 2006,70.39
Latam,May 2006,59.77
Latam,Jun 2006,57.27
Latam,Jul 2006,67.96
Latam,Aug 2006,67.85
Latam,Sep 2006,76.98
Latam,Oct 2006,81.08
Latam,Nov 2006,91.66
Latam,Dec 2006,84.84
Latam,Jan 2007,85.73
Latam,Feb 2007,84.61
Latam,Mar 2007,92.91
Latam,Apr 2007,99.8
Latam,May 2007,121.19
Latam,Jun 2007,122.04
Latam,Jul 2007,131.76
Latam,Aug 2007,138.48
Latam,Sep 2007,153.47
Latam,Oct 2007,189.95
Latam,Nov 2007,182.22
Latam,Dec 2007,198.08
Latam,Jan 2008,135.36
Latam,Feb 2008,125.02
Latam,Mar 2008,143.5
Latam,Apr 2008,173.95
Latam,May 2008,188.75
Latam,Jun 2008,167.44
Latam,Jul 2008,158.95
Latam,Aug 2008,169.53
Latam,Sep 2008,113.66
Latam,Oct 2008,107.59
Latam,Nov 2008,92.67
Latam,Dec 2008,85.35
Latam,Jan 2009,90.13
Latam,Feb 2009,89.31
Latam,Mar 2009,105.12
Latam,Apr 2009,125.83
Latam,May 2009,135.81
Latam,Jun 2009,142.43
Latam,Jul 2009,163.39
Latam,Aug 2009,168.21
Latam,Sep 2009,185.35
Latam,Oct 2009,188.5
Latam,Nov 2009,199.91
Latam,Dec 2009,210.73
Latam,Jan 2010,192.06
Latam,Feb 2010,204.62
Latam,Mar 2010,223.02
